<DATE>,<OPEN>,<HIGH>,<LOW>,<CLOSE>
2017-07-17,18.88,18.88,18.4,18.56
2017-07-18,18.7,19.05,18.55,18.95
2017-07-19,19.15,19.55,18.75,19.3
2017-07-20,19.32,19.45,19.05,19.17
2017-07-21,19.21,19.4,19.11,19.36
2017-07-24,19.45,19.53,19.11,19.18
2017-07-25,19.3,19.3,19.05,19.2
2017-07-26,19.27,19.27,18.93,18.98
2017-07-27,18.98,19.13,18.44,19
2017-07-28,19,19,18.69,18.9
2017-07-31,19,19,18.32,18.55
2017-08-01,18.46,18.7,18.46,18.47
2017-08-02,18.47,18.5,18.44,18.45
2017-08-03,18.48,19,18.45,18.76
2017-08-04,18.76,18.8,18.51,18.7
2017-08-07,18.62,18.7,18.62,18.7
2017-08-08,18.7,19,18.6,18.65
2017-08-09,18.7,18.93,18.55,18.8
2017-08-10,18.76,18.78,18.5,18.75
2017-08-11,18.64,18.9,18.64,18.89
2017-08-14,18.89,19.21,18.89,19.09
2017-08-16,19.1,19.3,19.1,19.18
2017-08-17,19.27,19.47,19.21,19.3
2017-08-18,19.5,19.59,19.11,19.56
2017-08-21,19.6,22,19.6,20.7
2017-08-22,22,22,21.2,21.7
2017-08-23,21.78,22.83,21.7,22.49
2017-08-24,22.8,22.84,21.37,21.8
2017-08-25,22.36,22.6,22.3,22.49
2017-08-28,22.55,22.85,22.49,22.5
2017-08-29,22.51,22.83,22.5,22.57
2017-08-30,22.87,22.87,22.5,22.7
2017-08-31,22.85,23.7,22.75,23.4
2017-09-01,23.64,25.23,23.46,24.2
2017-09-04,24.99,25.89,24.2,25.7
2017-09-05,26,28.6,26,27.1
2017-09-06,27.59,27.7,25.51,26.21
2017-09-07,26,26.8,24.8,25.3
2017-09-08,25.15,26.3,25,25.6
2017-09-11,27.05,27.05,25.9,26
2017-09-12,26.2,26.2,25.6,25.62
2017-09-13,25.7,26.06,25.5,25.5
2017-09-14,25.95,25.95,25.2,25.54
2017-09-15,25.79,26,25.4,25.6
2017-09-18,26,26.59,26,26.2
2017-09-19,26.3,26.3,25.22,26.1
2017-09-20,26,26,25,26
2017-09-21,26,26,25.35,25.55
2017-09-22,25.26,25.6,25,25.5
2017-09-25,25.5,25.98,25.5,25.53
2017-09-26,25.55,25.8,25.5,25.63
2017-09-27,25.51,25.79,25.45,25.45
2017-09-28,25.41,25.41,24.22,25.32
2017-09-29,25.5,25.75,24.92,25.75
2017-10-02,25.99,27.1,25.99,26.96
2017-10-03,27.05,27.75,26.81,27.7
2017-10-04,28,28.55,27.7,27.85
2017-10-05,27.89,27.95,27.02,27.45
2017-10-06,27.58,27.8,26.35,27.5
2017-10-09,27.55,27.55,26.89,26.9
2017-10-10,26.6,26.64,26.01,26.4
2017-10-11,26.15,27.3,25.64,26.61
2017-10-12,26.55,26.98,26.16,26.43
2017-10-13,26.3,26.6,25.8,26.01
2017-10-16,26.5,26.5,25.63,25.8
2017-10-17,26.29,26.29,25.5,25.55
2017-10-18,25.5,25.97,25.45,25.63
2017-10-19,25.79,25.88,23.5,24.6
2017-10-20,24.85,25.19,23.5,24
2017-10-23,24.94,24.94,22.85,23.1
2017-10-24,23,23,20.7,21.88
2017-10-25,21.91,23.26,21.91,22.5
2017-10-26,22.99,23.1,22.5,22.78
2017-10-27,23.3,23.3,22.75,22.9
2017-10-30,23.33,24,23.33,23.75
2017-10-31,23.8,24.1,23.61,24
2017-11-02,24.74,24.74,24.2,24.2
2017-11-03,24.5,24.55,24.21,24.43
2017-11-06,24.65,25.09,24.54,24.95
2017-11-07,25.1,25.29,24.89,24.99
2017-11-08,24.99,24.99,24.26,24.75
2017-11-09,24.97,25,24.69,24.75
2017-11-10,24.41,24.72,24,24.3
2017-11-13,24,24,23.23,23.6
2017-11-14,23.6,23.6,23.12,23.6
2017-11-15,23.38,23.6,23.03,23.37
2017-11-16,23.5,24.09,23.15,23.7
2017-11-17,24.28,24.28,23.71,23.9
2017-11-20,23.97,23.97,23.55,23.8
2017-11-21,23.75,23.9,23.28,23.52
2017-11-22,23.88,23.88,23.05,23.4
2017-11-23,23.49,23.49,23.24,23.35
2017-11-24,23.3,23.3,23.02,23.2
2017-11-27,23.2,23.3,22.75,22.99
2017-11-28,22.98,23.1,22.51,22.7
2017-11-29,22.94,23.49,22.86,23
2017-11-30,23.05,23.7,22.7,23.3
2017-12-01,23.4,23.41,22.77,23
2017-12-04,22.9,23,22.75,22.95
2017-12-05,22.8,22.88,22.6,22.69
2017-12-06,22.75,22.75,21.15,22.5
2017-12-07,22.69,23,22.69,22.85
2017-12-08,22.9,22.9,22.71,22.75
2017-12-11,22.88,22.9,22.3,22.74
2017-12-12,22.9,22.9,22.2,22.5
2017-12-13,22.73,22.73,21.92,21.92
2017-12-14,21.7,22.24,21.61,21.69
2017-12-15,21.99,21.99,20.03,20.32
2017-12-18,20.8,20.8,19.23,19.61
2017-12-19,19.7,19.87,18.73,18.8
2017-12-20,19,19,18.02,18.5
2017-12-21,18.29,19.7,18.06,18.68
2017-12-22,18.79,19.18,18.71,18.99
2017-12-27,19,19.38,18.45,18.7
2017-12-28,18.7,18.96,18.5,18.53
2017-12-29,18.88,18.88,18.39,18.39
2018-01-03,18.88,18.9,18.4,18.5
2018-01-04,18.8,18.88,18.6,18.74
2018-01-05,18.82,19.9,18.82,19.54
2018-01-08,19.88,20.5,19.8,20.05
2018-01-09,20.35,20.35,19.18,19.28
2018-01-10,19.3,19.3,18.68,18.7
2018-01-11,19,19.12,17.7,18
2018-01-12,18,18.48,17.82,18.28
2018-01-15,18.5,19.14,18.42,18.98
2018-01-16,19.54,20.1,19.1,19.2
2018-01-17,19.48,19.48,18.86,19.24
2018-01-18,19.24,19.4,19.04,19.36
2018-01-19,19.4,19.4,19.02,19.1
2018-01-22,19.12,19.34,18.66,19.02
2018-01-23,19,19,18.6,18.74
2018-01-24,18.74,19.38,18.7,19.1
2018-01-25,19.3,19.38,19,19
2018-01-26,19.22,19.22,18.8,19
