<DATE>,<OPEN>,<HIGH>,<LOW>,<CLOSE>
1998-03-17,11.633,11.633,11.633,11.633
1998-03-18,10.481,10.481,10.481,10.481
1998-03-19,10.131,10.131,10.131,10.131
1998-03-20,10.481,10.481,10.481,10.481
1998-03-23,10.379,10.379,10.379,10.379
1998-03-24,10.228,10.228,10.228,10.228
1998-03-25,10.131,10.131,10.131,10.131
1998-03-26,10.131,10.131,10.131,10.131
1998-03-27,10.027,10.027,10.027,10.027
1998-03-30,10.027,10.027,10.027,10.027
1998-03-31,10.027,10.027,10.027,10.027
1998-04-01,9.529,9.529,9.529,9.529
1998-04-02,9.529,9.529,9.529,9.529
1998-04-06,9.3778,9.3778,9.3778,9.3778
1998-04-07,9.2754,9.2754,9.2754,9.2754
1998-04-08,9.3295,9.3295,9.3295,9.3295
1998-04-09,8.9257,8.9257,8.9257,8.9257
1998-04-14,8.974,8.974,8.974,8.974
1998-04-15,9.0275,9.0275,9.0275,9.0275
1998-04-16,9.1249,9.1249,9.1249,9.1249
1998-04-17,9.2754,9.2754,9.2754,9.2754
1998-04-20,9.4272,9.4272,9.4272,9.4272
1998-04-21,10.083,10.083,10.083,10.083
1998-04-22,10.027,10.027,10.027,10.027
1998-04-23,9.529,9.529,9.529,9.529
1998-04-24,9.4272,9.4272,9.4272,9.4272
1998-04-27,8.5269,8.5269,8.5269,8.5269
1998-04-28,7.9251,7.9251,7.9251,7.9251
1998-04-29,8.1247,8.1247,8.1247,8.1247
1998-04-30,8.3232,8.3232,8.3232,8.3232
1998-05-04,8.7265,8.7265,8.7265,8.7265
1998-05-05,9.1249,9.1249,9.1249,9.1249
1998-05-06,9.2754,9.2754,9.2754,9.2754
1998-05-07,9.0275,9.0275,9.0275,9.0275
1998-05-08,8.5269,8.5269,8.5269,8.5269
1998-05-11,8.1247,8.1247,8.1247,8.1247
1998-05-12,8.2268,8.2268,8.2268,8.2268
1998-05-13,8.1247,8.1247,8.1247,8.1247
1998-05-14,8.0216,8.0216,8.0216,8.0216
1998-05-15,7.9737,7.9737,7.9737,7.9737
1998-05-18,7.5698,7.5698,7.5698,7.5698
1998-05-19,7.1236,7.1236,7.1236,7.1236
1998-05-20,7.323,7.323,7.323,7.323
1998-05-21,7.6238,7.6238,7.6238,7.6238
1998-05-22,7.6238,7.6238,7.6238,7.6238
1998-05-25,7.2739,7.2739,7.2739,7.2739
1998-05-26,7.3705,7.3705,7.3705,7.3705
1998-05-27,6.6716,6.6716,6.6716,6.6716
1998-05-28,6.6179,6.6179,6.6179,6.6179
1998-05-29,6.6716,6.6716,6.6716,6.6716
1998-06-01,6.0205,6.0205,6.0205,6.0205
1998-06-02,5.4179,5.4179,5.4179,5.4179
1998-06-03,5.6168,5.6168,5.6168,5.6168
1998-06-04,5.6654,5.6654,5.6654,5.6654
1998-06-05,5.5686,5.5686,5.5686,5.5686
1998-06-08,5.5147,5.5147,5.5147,5.5147
1998-06-09,5.2135,5.2135,5.2135,5.2135
1998-06-10,4.9659,4.9659,4.9659,4.9659
1998-06-15,4.5141,4.5141,4.5141,4.5141
1998-06-16,4.6163,4.6163,4.6163,4.6163
1998-06-17,5.0627,5.0627,5.0627,5.0627
1998-06-18,5.5147,5.5147,5.5147,5.5147
1998-06-19,5.5147,5.5147,5.5147,5.5147
1998-06-22,5.2672,5.2672,5.2672,5.2672
1998-06-23,5.2135,5.2135,5.2135,5.2135
1998-06-24,5.0627,5.0627,5.0627,5.0627
1998-06-25,5.0627,5.0627,5.0627,5.0627
1998-06-26,5.3642,5.3642,5.3642,5.3642
1998-06-29,5.2672,5.2672,5.2672,5.2672
1998-06-30,5.6654,5.6654,5.6654,5.6654
1998-07-01,6.1173,6.1173,6.1173,6.1173
1998-07-02,5.9181,5.9181,5.9181,5.9181
1998-07-03,6.1173,6.1173,6.1173,6.1173
1998-07-06,6.2679,6.2679,6.2679,6.2679
1998-07-07,6.2679,6.2679,6.2679,6.2679
1998-07-08,5.8697,5.8697,5.8697,5.8697
1998-07-09,6.0205,6.0205,6.0205,6.0205
1998-07-10,6.1657,6.1657,6.1657,6.1657
1998-07-13,5.8159,5.8159,5.8159,5.8159
1998-07-14,6.0205,6.0205,6.0205,6.0205
1998-07-15,5.7677,5.7677,5.7677,5.7677
1998-07-16,5.9181,5.9181,5.9181,5.9181
1998-07-17,5.9667,5.9667,5.9667,5.9667
1998-07-20,5.4179,5.4179,5.4179,5.4179
1998-07-21,5.3157,5.3157,5.3157,5.3157
1998-07-22,4.7883,4.7883,4.7883,4.7883
1998-07-23,5.2672,5.2672,5.2672,5.2672
1998-07-24,5.4663,5.4663,5.4663,5.4663
1998-07-27,5.9667,5.9667,5.9667,5.9667
1998-07-28,6.0688,6.0688,6.0688,6.0688
1998-07-29,5.8697,5.8697,5.8697,5.8697
1998-07-30,5.8159,5.8159,5.8159,5.8159
1998-07-31,6.0688,6.0688,6.0688,6.0688
1998-08-03,6.0205,6.0205,6.0205,6.0205
1998-08-04,5.9667,5.9667,5.9667,5.9667
1998-08-05,5.8159,5.8159,5.8159,5.8159
1998-08-06,5.8159,5.8159,5.8159,5.8159
1998-08-07,5.7677,5.7677,5.7677,5.7677
1998-08-10,5.6654,5.6654,5.6654,5.6654
1998-08-11,5.7677,5.7677,5.7677,5.7677
1998-08-12,5.7192,5.7192,5.7192,5.7192
1998-08-13,5.4179,5.4179,5.4179,5.4179
1998-08-14,5.6168,5.6168,5.6168,5.6168
1998-08-17,5.6168,5.6168,5.6168,5.6168
1998-08-18,5.8159,5.8159,5.8159,5.8159
1998-08-19,5.9181,5.9181,5.9181,5.9181
1998-08-20,5.8159,5.8159,5.8159,5.8159
