<DATE>,<CLOSE>
2011-05-04,7.9149
2011-05-05,7.7498
2011-05-06,7.7433
2011-05-09,7.7644
2011-05-10,7.7286
2011-05-11,7.6643
2011-05-12,7.6855
2011-05-13,7.7359
2011-05-16,7.7359
2011-05-17,7.5994
2011-05-18,7.7286
2011-05-19,7.7075
2011-05-20,7.6643
2011-05-23,7.7359
2011-05-24,7.7498
2011-05-25,7.7359
2011-05-26,7.7644
2011-05-27,8.2016
2011-05-30,8.1652
2011-05-31,8.2297
2011-06-01,8.1578
2011-06-02,8.0941
2011-06-03,8.1297
2011-06-06,8.0578
2011-06-07,8.0941
2011-06-08,8.0503
2011-06-09,7.9652
2011-06-10,7.9719
2011-06-13,7.9504
2011-06-14,7.9652
2011-06-15,7.9
2011-06-16,7.6717
2011-06-17,7.8075
2011-06-20,7.8867
2011-06-21,7.9149
2011-06-22,7.8793
2011-06-24,7.7001
2011-06-27,7.6213
2011-06-28,7.7001
2011-06-29,7.7718
2011-06-30,7.8433
2011-07-01,7.7929
2011-07-04,7.557
2011-07-05,7.3415
2011-07-06,7.1983
2011-07-07,7.3415
2011-07-08,7.3773
2011-07-11,7.413
2011-07-12,7.1983
2011-07-13,7.3707
2011-07-14,7.3058
2011-07-15,7.1911
2011-07-18,7.1194
2011-07-19,7.0193
2011-07-20,7.0193
2011-07-21,6.8762
2011-07-22,7.2699
2011-07-25,7.2992
2011-07-26,7.2845
2011-07-27,7.5928
2011-07-28,7.7359
2011-07-29,7.6067
2011-08-01,7.5211
2011-08-02,7.4424
2011-08-03,7.2699
2011-08-04,6.5898
2011-08-05,6.5181
2011-08-08,5.9451
2011-08-09,5.8734
2011-08-10,5.8663
2011-08-11,5.6442
2011-08-12,5.9451
2011-08-16,6.4464
2011-08-17,6.4394
2011-08-18,6.3676
2011-08-19,6.339
2011-08-22,6.5898
2011-08-23,6.5826
2011-08-24,6.8046
2011-08-25,6.8046
2011-08-26,6.733
2011-08-29,6.9909
2011-08-30,6.9192
2011-08-31,7.1626
2011-09-01,7.1487
2011-09-05,6.9697
2011-09-06,6.7472
2011-09-07,6.7472
2011-09-08,6.2172
2011-09-09,6.16
2011-09-12,5.9379
2011-09-13,5.8734
2011-09-14,5.8591
2011-09-15,6.1241
2011-09-16,5.7302
2011-09-19,5.6873
2011-09-20,5.723
2011-09-21,5.7588
2011-09-22,5.6371
2011-09-23,5.6371
2011-09-26,5.587
2011-09-27,5.5941
2011-09-28,5.8376
2011-09-29,6.16
2011-09-30,6.554
2011-10-03,6.6972
2011-10-04,6.5898
2011-10-05,6.6613
2011-10-06,6.4464
2011-10-07,6.4464
2011-10-10,6.7044
2011-10-11,6.9478
2011-10-12,6.5898
2011-10-13,6.7902
2011-10-14,6.9836
2011-10-17,7.0836
2011-10-18,6.9478
2011-10-19,7.1194
2011-10-20,6.9405
2011-10-21,7.1553
2011-10-24,6.8405
2011-10-25,6.8046
2011-10-26,6.6256
2011-10-27,6.4464
2011-10-28,6.3032
2011-10-31,6.3032
2011-11-02,6.117
2011-11-03,5.9451
2011-11-04,5.8305
2011-11-07,5.7302
2011-11-08,5.8734
2011-11-09,5.8305
2011-11-10,5.8663
2011-11-14,5.9809
2011-11-15,5.7159
2011-11-16,5.587
2011-11-17,5.4508
2011-11-18,5.3147
2011-11-21,5.2861
2011-11-22,5.6586
2011-11-23,5.4795
