<DATE>,<OPEN>,<HIGH>,<LOW>,<CLOSE>
2005-01-14,49.206,50.387,39.365,42.317
2005-01-17,43.105,44.286,38.971,39.168
2005-01-18,38.381,39.365,38.381,39.365
2005-01-19,38.479,39.365,38.479,38.873
2005-01-20,38.479,39.365,38.381,38.873
2005-01-21,38.086,38.873,38.086,38.774
2005-01-24,38.873,38.873,38.381,38.578
2005-01-25,37.495,39.562,37.495,39.562
2005-01-26,38.578,39.759,38.479,38.873
2005-01-27,39.266,39.266,39.266,39.266
2005-01-28,38.774,38.774,38.381,38.381
2005-01-31,38.381,38.381,37.889,37.889
2005-02-01,38.381,39.365,38.381,39.365
2005-02-02,39.07,43.203,39.07,41.53
2005-02-03,42.317,42.317,40.841,40.841
2005-02-04,41.333,41.333,39.857,39.857
2005-02-07,39.857,40.054,39.857,39.955
2005-02-08,39.955,39.955,39.857,39.955
2005-02-09,39.955,39.955,39.365,39.365
2005-02-10,39.365,41.628,39.168,41.628
2005-02-11,41.628,42.022,41.235,42.022
2005-02-14,42.219,43.203,42.12,43.203
2005-02-15,43.105,43.105,42.711,42.711
2005-02-16,42.809,42.809,42.317,42.514
2005-02-17,41.924,42.514,41.53,42.514
2005-02-18,42.317,42.711,42.317,42.317
2005-02-21,42.317,42.711,41.924,42.711
2005-02-22,41.235,42.612,41.235,42.317
2005-02-23,42.514,43.006,42.514,42.908
2005-02-24,43.301,43.301,42.317,42.317
2005-02-25,42.317,42.317,41.333,41.333
2005-02-28,41.333,41.333,40.546,40.546
2005-03-01,41.432,41.432,39.365,40.546
2005-03-02,40.447,41.628,40.447,41.628
2005-03-03,41.825,41.825,40.939,40.939
2005-03-04,41.333,42.219,40.152,42.219
2005-03-07,40.349,41.825,39.955,41.825
2005-03-08,40.546,41.825,40.546,41.825
2005-03-09,41.727,41.825,41.727,41.825
2005-03-10,41.628,42.612,40.841,42.612
2005-03-11,42.317,42.317,42.317,42.317
2005-03-14,41.333,42.317,41.333,42.317
2005-03-15,41.727,42.317,41.628,42.317
2005-03-16,41.628,42.317,41.628,42.317
2005-03-17,42.12,42.317,40.939,42.219
2005-03-18,42.317,42.416,41.333,42.416
2005-03-21,42.416,42.612,41.924,42.612
2005-03-22,42.317,44.286,42.317,43.301
2005-03-24,43.301,43.498,42.416,43.301
2005-03-29,44.286,44.286,44.286,44.286
2005-03-30,43.498,43.99,43.498,43.99
2005-03-31,43.892,43.892,43.301,43.301
2005-04-01,42.416,43.597,42.317,43.597
2005-04-04,42.514,42.514,42.317,42.317
2005-04-05,43.006,43.006,41.825,42.612
2005-04-06,43.006,43.006,43.006,43.006
2005-04-07,43.006,43.006,43.006,43.006
2005-04-11,41.924,42.12,41.038,42.12
2005-04-12,41.333,41.333,41.136,41.136
2005-04-13,41.136,41.825,41.136,41.825
2005-04-14,41.825,42.317,41.825,42.317
2005-04-15,41.136,42.317,41.038,42.317
2005-04-18,41.924,41.924,41.924,41.924
2005-04-19,41.333,42.317,40.939,42.317
2005-04-21,42.12,42.12,42.12,42.12
2005-04-26,42.317,42.317,41.333,42.317
2005-04-27,42.317,42.317,42.317,42.317
2005-04-28,42.12,42.12,39.759,41.825
2005-04-29,42.514,42.514,41.333,42.514
2005-05-02,43.203,43.203,43.203,43.203
2005-05-04,42.514,42.612,42.416,42.612
2005-05-05,42.219,42.219,41.136,42.12
2005-05-06,42.022,42.12,41.038,42.12
2005-05-09,42.809,42.809,41.038,41.727
2005-05-10,41.333,41.924,40.644,41.333
2005-05-11,41.136,41.333,39.857,41.333
2005-05-12,41.825,43.203,41.825,43.203
2005-05-13,43.105,43.301,42.12,43.301
2005-05-16,43.301,44.187,43.203,44.187
2005-05-17,44.187,44.778,44.187,44.778
2005-05-18,45.27,45.466,44.778,45.27
2005-05-19,45.27,47.238,45.171,47.139
2005-05-20,47.533,47.828,47.533,47.828
2005-05-23,47.73,52.552,47.632,51.666
2005-05-24,52.06,52.651,52.06,52.651
2005-05-25,53.241,54.127,53.241,54.127
2005-05-27,54.127,54.127,53.635,54.127
2005-05-30,54.127,54.127,53.438,54.127
2005-05-31,54.028,56.882,52.946,53.635
2005-06-01,53.143,53.143,51.174,51.47
2005-06-02,51.47,51.47,48.419,49.206
2005-06-03,49.206,50.485,47.336,50.485
2005-06-06,53.733,55.111,53.733,54.127
2005-06-07,55.111,55.111,55.012,55.012
2005-06-08,55.012,55.012,55.012,55.012
2005-06-09,54.127,54.816,52.257,53.143
2005-06-10,52.651,54.914,52.158,54.914
2005-06-13,54.619,56.39,52.946,56.39
2005-06-14,56.587,56.981,56.489,56.981
2005-06-15,56.587,57.079,56.587,57.079
2005-06-16,58.555,58.555,57.079,57.079
2005-06-17,58.063,58.063,56.882,57.079
2005-06-20,58.555,58.555,57.079,57.079
2005-06-21,57.079,57.079,56.685,56.784
2005-06-22,58.063,58.063,55.997,56.981
2005-06-23,57.571,57.571,54.127,56.095
2005-06-24,56.981,57.571,54.914,56.095
2005-06-27,55.111,55.504,55.012,55.012
2005-06-28,55.111,55.111,54.914,54.914
2005-06-29,54.914,54.914,54.914,54.914
2005-06-30,54.619,54.619,54.619,54.619
2005-07-01,54.52,54.52,54.52,54.52
2005-07-04,54.52,54.52,53.143,53.143
