<DATE>,<OPEN>,<HIGH>,<LOW>,<CLOSE>
1993-06-22,5.3408,5.3408,5.3408,5.3408
1993-06-24,4.8771,4.8771,4.8771,4.8771
1993-06-28,4.8771,4.8771,4.8771,4.8771
1993-06-29,5.1612,5.1612,5.1612,5.1612
1993-07-01,5.3408,5.3408,5.3408,5.3408
1993-07-05,5.5877,5.5877,5.5877,5.5877
1993-07-06,5.6176,5.6176,5.6176,5.6176
1993-07-08,5.0565,5.0565,5.0565,5.0565
1993-07-12,5.1612,5.1612,5.1612,5.1612
1993-07-13,5.1238,5.1238,5.1238,5.1238
1993-07-15,5.0565,5.0565,5.0565,5.0565
1993-07-19,5.0565,5.0565,5.0565,5.0565
1993-07-20,4.9817,4.9817,4.9817,4.9817
1993-07-22,5.0939,5.0939,5.0939,5.0939
1993-07-26,5.0939,5.0939,5.0939,5.0939
1993-07-27,5.019,5.019,5.019,5.019
1993-07-29,5.0939,5.0939,5.0939,5.0939
1993-08-02,5.1612,5.1612,5.1612,5.1612
1993-08-03,5.1612,5.1612,5.1612,5.1612
1993-08-05,5.1238,5.1238,5.1238,5.1238
1993-08-09,5.6176,5.6176,5.6176,5.6176
1993-08-10,6.186,6.186,6.186,6.186
1993-08-12,6.8219,6.8219,6.8219,6.8219
1993-08-16,7.4577,7.4577,7.4577,7.4577
1993-08-17,8.2062,8.2062,8.2062,8.2062
1993-08-19,8.9834,8.9834,8.9834,8.9834
1993-08-23,9.791,9.791,9.791,9.791
1993-08-24,10.712,10.712,10.712,10.712
1993-08-26,11.812,11.812,11.812,11.812
1993-08-30,10.644,10.644,10.644,10.644
1993-08-31,9.619,9.619,9.619,9.619
1993-09-02,10.502,10.502,10.502,10.502
1993-09-06,11.489,11.489,11.489,11.489
1993-09-07,10.323,10.323,10.323,10.323
1993-09-09,9.897,9.897,9.897,9.897
1993-09-13,9.791,9.791,9.791,9.791
1993-09-14,9.897,9.897,9.897,9.897
1993-09-16,10.217,10.217,10.217,10.217
1993-09-20,9.1927,9.1927,9.1927,9.1927
1993-09-21,8.2728,8.2728,8.2728,8.2728
1993-09-23,7.4577,7.4577,7.4577,7.4577
1993-09-27,6.8592,6.8592,6.8592,6.8592
1993-09-28,7.5324,7.5324,7.5324,7.5324
1993-09-30,8.2062,8.2062,8.2062,8.2062
1993-10-04,8.9834,8.9834,8.9834,8.9834
1993-10-05,9.4029,9.4029,9.4029,9.4029
1993-10-07,9.4029,9.4029,9.4029,9.4029
1993-10-11,9.972,9.972,9.972,9.972
1993-10-12,10.57,10.57,10.57,10.57
1993-10-14,10.57,10.57,10.57,10.57
1993-10-18,11.421,11.421,11.421,11.421
1993-10-19,10.995,10.995,10.995,10.995
1993-10-21,10.397,10.397,10.397,10.397
1993-10-26,9.972,9.972,9.972,9.972
1993-10-28,10.57,10.57,10.57,10.57
1993-11-02,10.57,10.57,10.57,10.57
1993-11-04,10.644,10.644,10.644,10.644
1993-11-08,10.217,10.217,10.217,10.217
1993-11-09,9.972,9.972,9.972,9.972
1993-11-10,10.57,10.57,10.57,10.57
1993-11-15,10.921,10.921,10.921,10.921
1993-11-16,10.817,10.817,10.817,10.817
1993-11-18,9.725,9.725,9.725,9.725
1993-11-22,9.725,9.725,9.725,9.725
1993-11-23,10.323,10.323,10.323,10.323
1993-11-25,10.397,10.397,10.397,10.397
1993-11-29,10.397,10.397,10.397,10.397
1993-11-30,10.502,10.502,10.502,10.502
1993-12-02,10.644,10.644,10.644,10.644
1993-12-06,11.736,11.736,11.736,11.736
1993-12-07,12.162,12.162,12.162,12.162
