<DATE>,<OPEN>,<HIGH>,<LOW>,<CLOSE>
1993-10-14,9.2311,9.2311,9.2311,9.2311
1993-10-18,10.097,10.097,10.097,10.097
1993-10-19,10.577,10.577,10.577,10.577
1993-10-21,10.385,10.385,10.385,10.385
1993-10-26,9.3753,9.3753,9.3753,9.3753
1993-10-28,10.097,10.097,10.097,10.097
1993-11-02,9.2311,9.2311,9.2311,9.2311
1993-11-04,10.097,10.097,10.097,10.097
1993-11-08,10.049,10.049,10.049,10.049
1993-11-09,9.616,9.616,9.616,9.616
1993-11-10,10,10,10,10
1993-11-15,9.616,9.616,9.616,9.616
1993-11-16,10.049,10.049,10.049,10.049
1993-11-18,9.616,9.616,9.616,9.616
1993-11-22,9.568,9.568,9.568,9.568
1993-11-23,9.1349,9.1349,9.1349,9.1349
1993-11-25,9.712,9.712,9.712,9.712
1993-11-29,10.097,10.097,10.097,10.097
1993-11-30,9.712,9.712,9.712,9.712
1993-12-02,9.808,9.808,9.808,9.808
1993-12-06,9.3753,9.3753,9.3753,9.3753
1993-12-07,9.808,9.808,9.808,9.808
1993-12-09,9.4234,9.4234,9.4234,9.4234
1993-12-13,9.4234,9.4234,9.4234,9.4234
1993-12-14,9.4234,9.4234,9.4234,9.4234
1993-12-16,9.616,9.616,9.616,9.616
1993-12-20,9.616,9.616,9.616,9.616
1993-12-21,9.4234,9.4234,9.4234,9.4234
1993-12-23,8.7503,8.7503,8.7503,8.7503
1993-12-27,9.616,9.616,9.616,9.616
1993-12-28,10.577,10.577,10.577,10.577
1993-12-30,11.635,11.635,11.635,11.635
1994-01-03,12.789,12.789,12.789,12.789
1994-01-04,14.039,14.039,14.039,14.039
1994-01-06,15.433,15.433,15.433,15.433
1994-01-10,13.895,13.895,13.895,13.895
1994-01-11,14.568,14.568,14.568,14.568
1994-01-13,13.125,13.125,13.125,13.125
1994-01-17,13.943,13.943,13.943,13.943
1994-01-18,13.174,13.174,13.174,13.174
1994-01-20,13.174,13.174,13.174,13.174
1994-01-24,14.472,14.472,14.472,14.472
1994-01-25,15.914,15.914,15.914,15.914
1994-01-27,17.501,17.501,17.501,17.501
1994-01-31,16.347,16.347,16.347,16.347
1994-02-01,14.712,14.712,14.712,14.712
1994-02-03,16.154,16.154,16.154,16.154
1994-02-07,17.741,17.741,17.741,17.741
1994-02-08,18.27,18.27,18.27,18.27
1994-02-10,19.183,19.183,19.183,19.183
1994-02-14,19.712,19.712,19.712,19.712
1994-02-15,21.683,21.683,21.683,21.683
1994-02-17,23.847,23.847,23.847,23.847
1994-02-21,23.751,23.751,23.751,23.751
1994-02-22,23.078,23.078,23.078,23.078
1994-02-24,23.078,23.078,23.078,23.078
1994-02-28,23.943,23.943,23.943,23.943
1994-03-01,25.482,25.482,25.482,25.482
1994-03-03,25.482,25.482,25.482,25.482
1994-03-07,25.482,25.482,25.482,25.482
1994-03-08,25.001,25.001,25.001,25.001
1994-03-10,26.443,26.443,26.443,26.443
1994-03-14,26.636,26.636,26.636,26.636
1994-03-15,26.443,26.443,26.443,26.443
1994-03-17,25.962,25.962,25.962,25.962
1994-03-21,23.366,23.366,23.366,23.366
1994-03-22,23.559,23.559,23.559,23.559
1994-03-24,25.866,25.866,25.866,25.866
1994-03-28,25.866,25.866,25.866,25.866
1994-03-29,23.318,23.318,23.318,23.318
1994-03-31,21.01,21.01,21.01,21.01
1994-04-05,18.943,18.943,18.943,18.943
1994-04-07,19.135,19.135,19.135,19.135
1994-04-08,17.308,17.308,17.308,17.308
1994-04-11,15.577,15.577,15.577,15.577
1994-04-12,14.039,14.039,14.039,14.039
1994-04-14,10.577,10.577,10.577,10.577
1994-04-18,10.577,10.577,10.577,10.577
1994-04-19,11.635,11.635,11.635,11.635
1994-04-21,13.943,13.943,13.943,13.943
1994-04-25,15.962,15.962,15.962,15.962
1994-04-26,15.962,15.962,15.962,15.962
1994-04-28,14.424,14.424,14.424,14.424
1994-05-05,15.866,15.866,15.866,15.866
1994-05-06,14.327,14.327,14.327,14.327
1994-05-09,14.424,14.424,14.424,14.424
1994-05-10,14.231,14.231,14.231,14.231
1994-05-12,14.904,14.904,14.904,14.904
1994-05-16,16.347,16.347,16.347,16.347
1994-05-17,15.962,15.962,15.962,15.962
1994-05-19,16.828,16.828,16.828,16.828
1994-05-23,17.212,17.212,17.212,17.212
1994-05-24,17.308,17.308,17.308,17.308
1994-05-26,16.731,16.731,16.731,16.731
1994-05-30,17.308,17.308,17.308,17.308
1994-05-31,17.981,17.981,17.981,17.981
1994-06-01,16.251,16.251,16.251,16.251
1994-06-06,16.154,16.154,16.154,16.154
1994-06-07,14.616,14.616,14.616,14.616
1994-06-09,13.462,13.462,13.462,13.462
1994-06-13,12.116,12.116,12.116,12.116
1994-06-14,10.385,10.385,10.385,10.385
1994-06-16,11.347,11.347,11.347,11.347
1994-06-20,10.289,10.289,10.289,10.289
1994-06-21,9.2791,9.2791,9.2791,9.2791
1994-06-23,8.3657,8.3657,8.3657,8.3657
1994-06-27,8.6542,8.6542,8.6542,8.6542
1994-06-28,9.3272,9.3272,9.3272,9.3272
1994-06-30,9.3272,9.3272,9.3272,9.3272
1994-07-04,9.4234,9.4234,9.4234,9.4234
1994-07-05,10.193,10.193,10.193,10.193
1994-07-06,10.481,10.481,10.481,10.481
1994-07-07,10.385,10.385,10.385,10.385
