<DATE>,<OPEN>,<HIGH>,<LOW>,<CLOSE>
2006-09-13,9.692,10.47,8.3762,8.4358
2006-09-14,8.7885,8.7885,8.1967,8.1967
2006-09-15,8.1781,8.1781,7.837,8.0767
2006-09-18,8.1967,8.1967,7.8966,7.9449
2006-09-19,7.8669,7.8669,7.5981,7.6577
2006-09-20,7.6875,7.8669,7.61,7.837
2006-09-21,7.7478,8.1363,7.6577,7.8073
2006-09-22,7.7775,8.0406,7.718,7.9506
2006-09-25,7.8966,8.1967,7.8966,8.1243
2006-09-26,8.0767,8.1363,7.9151,8.0285
2006-09-27,7.8501,7.8966,7.718,7.7301
2006-09-28,7.7775,8.0044,7.7775,7.9506
2006-09-29,7.8138,7.8138,7.7775,7.8073
2006-10-02,7.8073,7.8315,7.7775,7.7775
2006-10-03,7.7775,7.7775,7.5981,7.7358
2006-10-04,7.6642,7.7116,7.5381,7.7116
2006-10-05,7.7719,7.8073,7.6159,7.628
2006-10-06,7.7478,7.837,7.634,7.837
2006-10-09,8.0648,8.0648,7.9087,7.9087
2006-10-10,7.9087,7.9263,7.8073,7.8669
2006-10-11,7.8669,7.9449,7.837,7.8966
2006-10-12,7.796,7.9151,7.784,7.8073
2006-10-13,7.8138,7.837,7.7478,7.7478
2006-10-16,7.7301,7.8966,7.7301,7.7775
2006-10-17,7.7478,7.837,7.6875,7.8315
2006-10-18,7.837,7.891,7.7655,7.8669
2006-10-19,7.8845,8.1363,7.8251,8.0888
2006-10-20,8.1903,8.4895,8.1903,8.3762
2006-10-23,8.6089,8.6089,8.1967,8.352
2006-10-24,8.2143,8.4947,8.0767,8.2559
2006-10-25,8.2023,8.3762,8.1724,8.2386
2006-10-26,8.3165,8.454,8.3165,8.4289
2006-10-27,8.4358,8.5492,8.4177,8.4358
2006-10-30,8.5007,8.5007,8.3398,8.4653
2006-10-31,8.5431,8.5431,8.3701,8.4653
2006-11-02,8.4653,8.5189,8.4055,8.4653
2006-11-03,8.4653,8.7766,8.4653,8.7283
2006-11-06,8.8542,9.0933,8.8542,8.9446
2006-11-07,9.064,9.064,8.5249,8.7109
2006-11-08,8.7173,8.7356,8.5855,8.6744
2006-11-09,8.6744,8.8907,8.6149,8.6443
2006-11-10,8.6744,8.8843,8.621,8.8177
2006-11-13,8.7939,8.7939,8.5855,8.7356
2006-11-14,8.7045,8.7283,8.5007,8.7283
2006-11-15,8.6744,8.6744,8.2023,8.4289
2006-11-16,8.3226,8.4004,8.3165,8.3762
2006-11-17,8.3814,8.4895,8.352,8.3762
2006-11-20,8.3165,8.4834,8.2681,8.4834
2006-11-21,8.4004,8.6089,8.3935,8.5007
2006-11-22,8.448,8.6744,8.448,8.6028
2006-11-23,8.6744,8.7356,8.6149,8.7045
2006-11-24,8.7356,8.9089,8.6149,8.9089
2006-11-27,8.9382,9.1654,8.7356,8.9145
2006-11-28,8.9145,8.9555,8.7402,8.9145
2006-11-29,8.9145,9.1357,8.8542,9.129
2006-11-30,9.2133,9.812,9.2133,9.751
2006-12-01,9.991,10.679,9.991,10.53
2006-12-04,10.65,11.037,10.231,10.259
2006-12-05,10.147,10.38,9.872,9.884
2006-12-06,9.884,9.884,9.2728,9.692
2006-12-07,9.872,9.872,9.525,9.686
2006-12-08,9.573,9.812,9.4645,9.812
2006-12-11,9.876,9.92,9.573,9.751
2006-12-12,9.578,9.722,9.3639,9.3639
2006-12-13,9.3639,9.453,9.1951,9.2728
2006-12-14,9.2852,9.3639,9.0331,9.0331
2006-12-15,9.003,9.0331,8.3762,9.0331
