<TICKER>,<DATE>,<CLOSE>
EMT,2012-07-12,2.35
EMT,2012-07-13,2.32
EMT,2012-07-16,2.28
EMT,2012-07-17,2.34
EMT,2012-07-18,2.06
EMT,2012-07-19,2.16
EMT,2012-07-20,2.24
EMT,2012-07-23,2.34
EMT,2012-07-24,2.34
EMT,2012-07-25,2.33
EMT,2012-07-26,2.33
EMT,2012-07-27,2.35
EMT,2012-07-30,2.31
EMT,2012-07-31,2.31
EMT,2012-08-01,2.15
EMT,2012-08-02,2.01
EMT,2012-08-03,1.85
EMT,2012-08-06,2.02
EMT,2012-08-07,2.11
EMT,2012-08-08,2.34
EMT,2012-08-09,2.35
EMT,2012-08-10,2.34
EMT,2012-08-13,2.57
EMT,2012-08-14,2.44
EMT,2012-08-16,2.33
EMT,2012-08-17,2.59
EMT,2012-08-20,2.39
EMT,2012-08-21,2.7
EMT,2012-08-22,2.94
EMT,2012-08-23,2.99
EMT,2012-08-24,3.03
EMT,2012-08-27,2.9
EMT,2012-08-28,2.81
EMT,2012-08-29,3.01
EMT,2012-08-30,2.91
EMT,2012-08-31,2.8
EMT,2012-09-03,2.79
EMT,2012-09-04,2.79
EMT,2012-09-05,2.61
EMT,2012-09-06,3.1
EMT,2012-09-07,2.84
EMT,2012-09-10,2.8
EMT,2012-09-11,2.8
EMT,2012-09-12,2.87
EMT,2012-09-13,2.78
EMT,2012-09-14,2.8
EMT,2012-09-17,2.8
EMT,2012-09-18,2.8
EMT,2012-09-19,2.7
EMT,2012-09-24,3.07
EMT,2012-09-25,2.88
EMT,2012-09-26,3
EMT,2012-09-27,3
EMT,2012-09-28,3
EMT,2012-10-01,3.2
EMT,2012-10-02,2.99
EMT,2012-10-03,3
EMT,2012-10-04,2.84
EMT,2012-10-05,2.95
EMT,2012-10-08,2.9
EMT,2012-10-09,2.85
EMT,2012-10-10,2.84
EMT,2012-10-11,2.85
EMT,2012-10-12,2.86
EMT,2012-10-15,3
EMT,2012-10-16,2.84
EMT,2012-10-17,2.8
EMT,2012-10-18,2.8
EMT,2012-10-19,2.79
EMT,2012-10-22,2.99
EMT,2012-10-23,2.85
EMT,2012-10-24,2.88
EMT,2012-10-25,2.75
EMT,2012-10-26,2.94
EMT,2012-10-29,2.75
EMT,2012-10-30,2.88
EMT,2012-10-31,2.95
EMT,2012-11-02,2.9
EMT,2012-11-05,2.75
EMT,2012-11-06,2.89
EMT,2012-11-07,2.85
EMT,2012-11-08,2.85
EMT,2012-11-09,2.8
EMT,2012-11-12,2.7
EMT,2012-11-14,2.8
EMT,2012-11-15,2.8
EMT,2012-11-16,2.9
EMT,2012-11-19,2.79
EMT,2012-11-20,2.87
EMT,2012-11-21,2.7
EMT,2012-11-22,2.69
EMT,2012-11-26,2.7
EMT,2012-11-27,2.7
EMT,2012-11-28,2.7
EMT,2012-11-29,2.69
EMT,2012-11-30,2.69
EMT,2012-12-03,2.8
EMT,2012-12-04,2.8
EMT,2012-12-05,2.75
EMT,2012-12-06,2.75
EMT,2012-12-07,2.75
EMT,2012-12-10,2.62
EMT,2012-12-11,2.5
EMT,2012-12-12,2.5
EMT,2012-12-13,2.5
EMT,2012-12-14,2.5
EMT,2012-12-17,2.5
EMT,2012-12-18,2.45
EMT,2012-12-19,2.5
EMT,2012-12-20,2.5
EMT,2012-12-21,2.5
EMT,2012-12-27,2.52
EMT,2012-12-28,2.5
EMT,2013-01-02,2.5
EMT,2013-01-03,2.5
EMT,2013-01-04,2.48
EMT,2013-01-07,2.45
EMT,2013-01-08,2.24
EMT,2013-01-09,2.24
EMT,2013-01-10,2.24
EMT,2013-01-11,2.24
EMT,2013-01-14,2.24
EMT,2013-01-15,2
EMT,2013-01-16,2
EMT,2013-01-17,2
EMT,2013-01-18,2
EMT,2013-01-21,1.99
EMT,2013-01-22,1.93
EMT,2013-01-23,1.9
EMT,2013-01-24,1.82
EMT,2013-01-25,1.85
EMT,2013-01-28,1.89
EMT,2013-01-29,2.07
EMT,2013-01-30,2.08
EMT,2013-02-01,2.06
EMT,2013-02-04,2.07
EMT,2013-02-06,1.91
EMT,2013-02-07,2.06
EMT,2013-02-08,2.06
EMT,2013-02-11,2.06
EMT,2013-02-12,2.06
EMT,2013-02-13,2.06
EMT,2013-02-14,1.99
EMT,2013-02-15,2.12
EMT,2013-02-18,2.15
EMT,2013-02-19,2.04
EMT,2013-02-20,1.95
EMT,2013-02-21,1.84
EMT,2013-02-22,1.97
EMT,2013-02-25,2.07
EMT,2013-02-26,2.07
EMT,2013-02-27,2.07
EMT,2013-02-28,2.07
EMT,2013-03-01,2.07
EMT,2013-03-05,1.98
EMT,2013-03-06,2.01
EMT,2013-03-07,2.01
EMT,2013-03-08,2.01
EMT,2013-03-11,1.89
EMT,2013-03-12,1.88
EMT,2013-03-14,1.86
EMT,2013-03-15,1.93
EMT,2013-03-18,1.78
EMT,2013-03-19,1.92
EMT,2013-03-20,2
EMT,2013-03-21,2
EMT,2013-03-27,2.01
EMT,2013-03-28,2.01
EMT,2013-04-02,2.07
EMT,2013-04-03,2.02
EMT,2013-04-04,2.02
EMT,2013-04-05,2.02
EMT,2013-04-08,2.17
EMT,2013-04-09,2.18
EMT,2013-04-10,2.18
EMT,2013-04-11,2.08
EMT,2013-04-12,2.19
EMT,2013-04-15,2.39
EMT,2013-04-17,2.45
EMT,2013-04-18,2.2
EMT,2013-04-19,2.17
EMT,2013-04-22,2.1
EMT,2013-04-23,2.1
EMT,2013-04-24,2.12
EMT,2013-04-25,2.07
EMT,2013-04-26,2.14
EMT,2013-04-29,2.15
EMT,2013-04-30,2.15
EMT,2013-05-02,2.2
EMT,2013-05-06,2.23
EMT,2013-05-07,2.2
EMT,2013-05-08,2.17
EMT,2013-05-09,2.16
EMT,2013-05-10,2.2
EMT,2013-05-13,2.2
EMT,2013-05-14,2.17
EMT,2013-05-15,2.19
EMT,2013-05-16,2.2
EMT,2013-05-17,2.18
EMT,2013-05-20,2.2
EMT,2013-05-21,2.15
EMT,2013-05-22,2.16
EMT,2013-05-23,2.17
EMT,2013-05-24,2.27
EMT,2013-05-27,2.2
EMT,2013-05-28,2.26
EMT,2013-05-29,2.2
EMT,2013-05-31,2.19
EMT,2013-06-03,2.2
EMT,2013-06-04,2.16
EMT,2013-06-05,2.15
EMT,2013-06-06,2.09
EMT,2013-06-07,2.15
EMT,2013-06-10,2.18
EMT,2013-06-11,2.18
EMT,2013-06-12,2.19
EMT,2013-06-13,2.21
EMT,2013-06-14,2.18
EMT,2013-06-17,2.18
EMT,2013-06-18,2.2
EMT,2013-06-19,2.17
EMT,2013-06-20,2.2
EMT,2013-06-21,2.16
EMT,2013-06-24,2.15
EMT,2013-06-25,2.15
EMT,2013-06-26,2.15
EMT,2013-06-27,2.09
EMT,2013-06-28,2.14
EMT,2013-07-01,2.18
EMT,2013-07-02,2.17
EMT,2013-07-03,2.14
EMT,2013-07-04,2.11
EMT,2013-07-05,2.14
EMT,2013-07-08,2.09
EMT,2013-07-09,2.09
EMT,2013-07-10,2.11
EMT,2013-07-11,2.09
EMT,2013-07-12,2.11
EMT,2013-07-15,2.09
EMT,2013-07-16,2.1
EMT,2013-07-17,2.08
EMT,2013-07-18,2.08
EMT,2013-07-19,2.07
EMT,2013-07-22,2.03
EMT,2013-07-23,2
EMT,2013-07-24,2
EMT,2013-07-25,2
EMT,2013-07-26,2
EMT,2013-07-29,1.98
EMT,2013-07-30,2
EMT,2013-07-31,2
EMT,2013-08-01,2
EMT,2013-08-02,2.05
EMT,2013-08-05,2.05
EMT,2013-08-06,2.2
EMT,2013-08-07,2.2
EMT,2013-08-08,2.2
EMT,2013-08-09,2.2
EMT,2013-08-12,2.3
EMT,2013-08-13,2.45
EMT,2013-08-14,2.45
EMT,2013-08-16,2.45
EMT,2013-08-19,2.48
EMT,2013-08-20,2.49
EMT,2013-08-21,2.49
EMT,2013-08-22,2.59
EMT,2013-08-23,2.66
EMT,2013-08-26,2.67
EMT,2013-08-27,2.59
EMT,2013-08-28,2.54
EMT,2013-08-29,2.55
EMT,2013-08-30,2.56
EMT,2013-09-02,2.54
EMT,2013-09-03,2.56
EMT,2013-09-04,2.74
EMT,2013-09-05,2.55
EMT,2013-09-06,2.57
EMT,2013-09-09,2.58
EMT,2013-09-10,2.78
EMT,2013-09-11,2.8
EMT,2013-09-12,2.82
EMT,2013-09-13,2.81
EMT,2013-09-16,2.85
EMT,2013-09-17,2.88
EMT,2013-09-18,3.05
EMT,2013-09-19,3.04
EMT,2013-09-20,3.05
EMT,2013-09-23,2.99
EMT,2013-09-24,2.97
EMT,2013-09-25,2.86
EMT,2013-09-26,2.98
EMT,2013-09-27,2.99
EMT,2013-09-30,2.99
EMT,2013-10-01,2.96
EMT,2013-10-02,2.95
EMT,2013-10-03,2.95
EMT,2013-10-04,2.86
EMT,2013-10-07,2.9
EMT,2013-10-08,2.95
EMT,2013-10-09,2.9
EMT,2013-10-10,2.99
EMT,2013-10-11,2.98
EMT,2013-10-14,3.18
EMT,2013-10-15,3.39
EMT,2013-10-16,3.24
EMT,2013-10-17,3.25
EMT,2013-10-18,3.19
EMT,2013-10-21,3.17
EMT,2013-10-22,3.09
EMT,2013-10-23,3.07
EMT,2013-10-24,2.97
EMT,2013-10-25,3
EMT,2013-10-28,2.95
EMT,2013-10-29,3
EMT,2013-10-30,3.1
EMT,2013-10-31,3.12
EMT,2013-11-04,3.05
EMT,2013-11-05,2.9
EMT,2013-11-06,2.99
EMT,2013-11-07,2.9
EMT,2013-11-08,2.9
EMT,2013-11-12,2.81
EMT,2013-11-13,2.95
EMT,2013-11-14,2.94
EMT,2013-11-15,3.05
EMT,2013-11-18,2.98
EMT,2013-11-19,3.07
EMT,2013-11-20,2.97
EMT,2013-11-21,2.98
EMT,2013-11-22,3.1
EMT,2013-11-25,3.05
EMT,2013-11-26,2.95
EMT,2013-11-27,3
EMT,2013-11-28,2.99
EMT,2013-11-29,2.96
EMT,2013-12-02,2.77
EMT,2013-12-03,2.6
EMT,2013-12-04,2.6
EMT,2013-12-05,2.6
EMT,2013-12-06,2.72
EMT,2013-12-09,2.8
EMT,2013-12-10,2.74
EMT,2013-12-11,2.77
