<DATE>,<OPEN>,<HIGH>,<LOW>,<CLOSE>
2007-04-11,12.467,15.988,12.467,15.455
2007-04-12,15.146,15.146,13.429,14.087
2007-04-13,14.108,15.202,13.454,14.772
2007-04-16,14.899,15.151,14.442,14.696
2007-04-17,14.696,14.696,14.391,14.696
2007-04-18,14.29,14.908,13.864,14.696
2007-04-19,14.69,15,14.255,15
2007-04-20,14.899,17.99,14.853,17.99
2007-04-23,18.649,20.016,17.887,18.75
2007-04-24,19.916,19.916,18.039,18.734
2007-04-25,19.662,19.662,17.736,18.75
2007-04-26,18.75,18.769,18.03,18.491
2007-04-27,18.32,18.32,16.824,17.904
2007-04-30,17.736,17.736,17.3,17.695
2007-05-02,17.71,18.497,17.589,18.497
2007-05-04,19.004,19.004,18.497,18.572
2007-05-07,18.547,18.547,17.787,17.99
2007-05-08,17.686,18.243,17.279,17.726
2007-05-09,17.279,18.142,17.279,18.142
2007-05-10,18.142,18.142,16.47,17.002
2007-05-11,16.038,17.179,15.963,17.179
2007-05-14,17.665,17.918,16.774,17.918
2007-05-15,17.94,17.94,17.027,17.102
2007-05-16,17.108,18.75,17.102,18.598
2007-05-17,18.582,18.75,17.994,18.497
2007-05-18,18.465,19.256,17.787,19.256
2007-05-21,19.464,19.692,19.029,19.585
2007-05-22,19.981,20.757,19.266,19.94
2007-05-23,20.016,20.396,18.856,19.5
2007-05-24,19.511,19.708,19.004,19.5
2007-05-25,18.902,20.016,18.902,19.753
2007-05-28,19.029,19.966,19.029,19.966
2007-05-29,19.992,20.771,19.763,20.371
2007-05-30,20.016,20.423,19.763,20.396
2007-05-31,20.271,20.523,20.016,20.219
2007-06-01,20.016,20.271,19.763,20.271
2007-06-04,20.316,20.467,19.87,20.407
2007-06-05,20.407,20.407,20.016,20.264
2007-06-06,20.26,20.271,19.307,20.067
2007-06-08,19.256,20.271,19.256,20.271
2007-06-11,20.271,20.271,19.815,20.164
2007-06-12,20.158,20.219,19.839,20.067
2007-06-13,20.042,21.791,20.042,21.739
2007-06-14,22.044,25.084,22.044,24.273
2007-06-15,24.831,26.073,24.78,25.337
2007-06-18,26.047,26.047,24.881,25.592
